Counties,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Anderson County, TN",30973,2192,1705,1202,1258,1508,1460,1641,1960,1242,2450,2995,4142,2420,1731,1706,1361
"Bedford County, TN",17904,830,757,820,715,870,826,1075,1207,767,1773,2019,2843,1373,670,698,661
"Benton County, TN",6509,493,601,514,396,319,521,394,265,236,552,716,667,274,162,228,171
"Bledsoe County, TN",4901,521,324,225,366,218,175,236,211,121,376,548,782,266,226,123,183
"Blount County, TN",52337,2149,1849,1973,1996,2531,2351,2441,2230,2335,4431,5781,7600,5725,3420,2864,2661
"Bradley County, TN",40948,2121,2630,1533,1944,2395,2439,1619,1873,2006,3464,4262,5324,3522,2521,1757,1538
"Campbell County, TN",15744,1179,1305,964,904,847,1007,808,747,636,1362,1556,1995,1220,458,402,354
"Cannon County, TN",5671,559,283,297,235,304,260,219,153,317,475,617,878,415,195,267,197
"Carroll County, TN",10988,908,971,651,530,793,668,429,572,608,623,1190,1203,650,521,436,235
"Carter County, TN",23547,1809,1704,1823,1410,1383,1321,1315,1155,1267,2031,2365,2605,1611,660,698,390
"Cheatham County, TN",15366,540,332,793,541,358,720,562,854,451,1153,2143,2606,1412,1418,944,539
"Chester County, TN",6108,374,307,521,416,283,329,298,193,166,736,664,779,545,152,296,49
"Claiborne County, TN",13410,1153,917,1057,703,905,770,814,802,568,1377,1410,1175,729,344,306,380
"Clay County, TN",2973,322,320,243,112,197,239,85,168,164,180,277,327,214,37,57,31
"Cocke County, TN",14339,1053,972,1295,1018,766,801,1075,723,843,1059,1671,1462,630,362,337,272
"Coffee County, TN",22417,1251,1211,1074,1163,1185,1386,1369,1132,1071,1669,2810,2927,1714,939,880,636
"Crockett County, TN",5387,260,316,393,273,460,268,334,169,153,416,639,700,529,236,136,105
"Cumberland County, TN",26523,1868,1430,1177,1192,1130,1623,1402,1594,1314,2104,3579,4062,1972,747,755,574
"Davidson County, TN",293859,17319,9372,10022,10876,12106,11751,13054,12199,12093,24567,31223,38555,27754,17785,20029,25154
"Decatur County, TN",4375,311,452,169,291,236,389,136,265,180,291,460,675,274,70,116,60
"DeKalb County, TN",8023,521,450,642,575,435,382,537,429,307,609,899,751,595,409,317,165
"Dickson County, TN",19663,907,869,846,654,878,872,831,909,909,1710,2539,2742,2049,839,1258,851
"Dyer County, TN",14659,1149,1026,857,930,576,580,817,607,749,1535,1470,1462,1278,627,387,609
"Fayette County, TN",15932,714,472,844,633,810,694,508,660,485,1270,1243,2283,1703,1059,1280,1274
"Fentress County, TN",7443,565,717,416,463,553,386,379,425,536,853,510,870,397,193,110,70
"Franklin County, TN",16467,1288,766,830,763,977,752,1142,821,546,1188,1942,1940,1176,1029,592,715
"Gibson County, TN",19436,1366,1461,1379,965,747,991,1262,899,695,1639,1894,2441,1718,766,598,615
"Giles County, TN",11395,770,618,680,508,532,606,593,562,416,1003,1209,1308,759,694,796,341
"Grainger County, TN",9343,759,674,656,600,774,264,473,481,535,782,748,1132,885,172,222,186
"Greene County, TN",27468,1858,1870,1925,1724,1633,1410,1035,1619,1013,2449,2893,3371,1587,1289,1061,731
"Grundy County, TN",4833,328,334,375,256,203,381,341,188,221,498,395,511,460,105,201,36
"Hamblen County, TN",24471,1948,1052,1663,1748,1478,1464,1413,1414,1020,2021,2330,2958,1808,1083,543,528
"Hamilton County, TN",147419,8314,6629,6609,6559,6778,7673,6690,6702,5469,11201,14094,19147,13361,8326,9353,10514
"Hancock County, TN",2852,383,237,254,304,278,101,116,82,65,162,208,390,58,118,0,96
"Hardeman County, TN",9058,746,680,746,392,458,682,672,595,549,635,676,1051,490,318,200,168
"Hardin County, TN",10787,908,712,641,575,777,580,611,582,404,1276,975,1243,642,408,159,294
"Hawkins County, TN",22777,1713,1271,1591,1268,1335,1324,1027,1039,1041,2278,2305,2855,1496,762,1075,397
"Haywood County, TN",7118,845,446,425,492,444,458,452,208,232,653,641,978,422,176,103,143
"Henderson County, TN",10823,746,762,684,771,793,467,616,345,626,741,1205,1232,925,310,408,192
"Henry County, TN",12938,866,970,1037,506,916,928,813,779,594,1021,1212,1303,938,368,439,248
"Hickman County, TN",8736,565,438,603,438,380,395,676,561,467,659,985,988,664,385,333,199
"Houston County, TN",2860,278,196,155,143,129,139,220,135,224,222,237,343,166,76,118,79
"Humphreys County, TN",6688,322,284,324,381,346,351,522,310,553,606,678,659,581,358,212,201
"Jackson County, TN",4523,432,328,408,378,199,222,262,134,254,310,437,492,338,164,98,67
"Jefferson County, TN",20419,595,972,1237,1375,925,1043,1228,1081,964,1737,2235,2635,1820,1057,755,760
